Order ID,Product,Quantity Ordered,Price Each,City,Order Date,Month,Sales
1001,Monitor,4,763.81,Los Angeles,2023-04-21,Apr,3055.24
1002,Keyboard,4,870.85,New York,2023-09-06,Sep,3483.4
1003,Headphones,4,1159.77,Los Angeles,2023-05-31,May,4639.08
1004,Keyboard,1,94.1,Chicago,2023-07-02,Jul,94.1
1005,Keyboard,4,1491.99,Los Angeles,2023-12-02,Dec,5967.96
1006,Phone,1,720.82,Los Angeles,2023-04-05,Apr,720.82
1007,Headphones,2,440.95,Phoenix,2023-01-08,Jan,881.9
1008,Headphones,1,1328.74,Phoenix,2023-12-26,Dec,1328.74
1009,Headphones,2,1129.15,Phoenix,2023-07-03,Jul,2258.3
1010,Keyboard,4,1431.02,Chicago,2023-10-08,Oct,5724.08
1011,Monitor,4,516.2,Phoenix,2023-07-14,Jul,2064.8
1012,Headphones,2,842.56,New York,2023-12-18,Dec,1685.12
1013,Mouse,3,871.27,Houston,2023-07-14,Jul,2613.81
1014,Keyboard,2,1471.09,New York,2023-06-04,Jun,2942.18
1015,Phone,3,140.76,New York,2023-04-03,Apr,422.28
1016,Monitor,1,479.37,Phoenix,2023-06-09,Jun,479.37
1017,Mouse,1,310.64,Houston,2023-03-02,Mar,310.64
1018,Mouse,1,424.66,Houston,2023-05-02,May,424.66
1019,Phone,4,743.36,Houston,2023-02-20,Feb,2973.44
1020,Monitor,1,577.85,Chicago,2023-10-04,Oct,577.85
1021,Keyboard,3,610.2,Phoenix,2023-01-05,Jan,1830.6000000000001
1022,Laptop,1,1270.99,Houston,2023-04-02,Apr,1270.99
1023,Monitor,2,1397.12,Chicago,2023-06-19,Jun,2794.24
1024,Phone,2,133.51,Los Angeles,2023-11-13,Nov,267.02
1025,Mouse,4,337.11,Los Angeles,2023-01-22,Jan,1348.44
1026,Keyboard,2,1016.58,Chicago,2023-11-22,Nov,2033.16
1027,Monitor,3,557.21,Chicago,2023-01-01,Jan,1671.63
1028,Laptop,1,403.62,Phoenix,2023-05-13,May,403.62
1029,Laptop,4,464.08,Phoenix,2023-08-21,Aug,1856.32
1030,Headphones,1,504.15,Los Angeles,2023-01-12,Jan,504.15
1031,Headphones,1,1277.54,Houston,2023-12-12,Dec,1277.54
1032,Phone,3,230.83,Los Angeles,2023-02-15,Feb,692.49
1033,Monitor,2,1072.1,Houston,2023-02-03,Feb,2144.2
1034,Monitor,2,842.65,Houston,2023-03-19,Mar,1685.3
1035,Mouse,1,465.87,Phoenix,2023-08-06,Aug,465.87
1036,Mouse,4,647.08,New York,2023-10-28,Oct,2588.32
1037,Mouse,2,406.62,New York,2023-03-14,Mar,813.24
1038,Headphones,4,928.93,Chicago,2023-10-09,Oct,3715.72
1039,Monitor,2,149.94,Phoenix,2023-09-06,Sep,299.88
1040,Monitor,4,37.62,Houston,2023-02-16,Feb,150.48
1041,Laptop,3,953.0,New York,2023-05-01,May,2859.0
1042,Headphones,4,315.58,Houston,2023-08-02,Aug,1262.32
1043,Keyboard,3,134.28,New York,2023-08-27,Aug,402.84000000000003
1044,Headphones,3,613.27,New York,2023-02-25,Feb,1839.81
1045,Keyboard,4,104.63,New York,2023-12-16,Dec,418.52
1046,Laptop,3,1333.33,Phoenix,2023-04-17,Apr,3999.99
1047,Phone,1,70.6,Los Angeles,2023-11-15,Nov,70.6
1048,Monitor,3,880.93,Houston,2023-02-17,Feb,2642.79
1049,Laptop,2,674.56,Phoenix,2023-03-02,Mar,1349.12
1050,Monitor,4,1017.88,Phoenix,2023-12-03,Dec,4071.52
1051,Mouse,1,512.38,Phoenix,2023-01-26,Jan,512.38
1052,Phone,4,257.91,Phoenix,2023-10-19,Oct,1031.64
1053,Phone,2,1473.31,Phoenix,2023-09-14,Sep,2946.62
1054,Laptop,2,1263.23,Chicago,2023-01-08,Jan,2526.46
1055,Phone,2,1294.79,Houston,2023-04-23,Apr,2589.58
1056,Keyboard,3,397.87,Phoenix,2023-12-21,Dec,1193.6100000000001
1057,Phone,3,87.09,Houston,2023-09-10,Sep,261.27
1058,Monitor,4,475.8,Chicago,2023-06-29,Jun,1903.2
1059,Monitor,4,819.51,Chicago,2023-07-26,Jul,3278.04
1060,Monitor,1,510.18,Houston,2023-10-30,Oct,510.18
1061,Monitor,1,1246.97,New York,2023-05-07,May,1246.97
1062,Keyboard,4,429.17,Los Angeles,2023-02-25,Feb,1716.68
1063,Headphones,3,1448.92,New York,2023-08-02,Aug,4346.76
1064,Mouse,2,702.18,New York,2023-01-14,Jan,1404.36
1065,Laptop,4,1267.77,New York,2023-01-28,Jan,5071.08
1066,Monitor,1,315.74,Phoenix,2023-03-19,Mar,315.74
1067,Phone,3,634.69,Chicago,2023-08-04,Aug,1904.0700000000002
1068,Monitor,4,1058.28,New York,2023-12-31,Dec,4233.12
